index,term,installment,emp_title,purpose,title,dti,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,avg_cur_bal,chargeoff_within_12_mths,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_il_high_credit_limit,disbursement_method,is_risky
0, 36 months,123.03,leadman,debt_consolidation,Debt consolidation,5.91,0.0,Individual,722.0,144904.0,2.0,2.0,0.0,1.0,21.0,4981.0,3.0,3.0,722.0,34.0,3.0,1.0,4.0,20701.0,0.0,128.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,4.0,9.0,4.0,7.0,0.0,0.0,0.0,3.0,76.9,0.0,0.0,178050.0,13734.0,Cash,0
1, 36 months,820.28,Engineer,small_business,Business,16.06,0.0,Individual,0.0,204396.0,1.0,1.0,0.0,1.0,19.0,18005.0,2.0,3.0,6472.0,29.0,0.0,0.0,6.0,9733.0,0.0,192.0,2.0,2.0,0.0,5.0,5.0,13.0,17.0,6.0,20.0,27.0,5.0,22.0,0.0,0.0,0.0,2.0,97.4,0.0,0.0,314017.0,24667.0,Cash,0
2, 60 months,432.66,truck driver,home_improvement,,10.78,0.0,Joint App,0.0,189699.0,0.0,1.0,0.0,4.0,19.0,10827.0,0.0,2.0,2081.0,65.0,2.0,5.0,1.0,31617.0,0.0,184.0,14.0,14.0,0.0,2.0,3.0,2.0,4.0,6.0,4.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,218418.0,14877.0,Cash,1
3, 60 months,829.9,Information Systems Officer,debt_consolidation,Debt consolidation,17.06,0.0,Individual,0.0,301500.0,1.0,1.0,0.0,1.0,23.0,12609.0,1.0,1.0,6987.0,45.0,0.0,1.0,0.0,23192.0,0.0,87.0,2.0,2.0,0.0,4.0,5.0,8.0,10.0,2.0,10.0,13.0,5.0,13.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,381215.0,18000.0,Cash,0
4, 60 months,289.91,Contract Specialist,major_purchase,Major purchase,25.37,0.0,Individual,0.0,331730.0,1.0,3.0,0.0,3.0,14.0,73839.0,4.0,7.0,9702.0,78.0,2.0,1.0,3.0,27644.0,0.0,210.0,4.0,4.0,0.0,4.0,6.0,5.0,9.0,10.0,7.0,19.0,6.0,12.0,0.0,0.0,0.0,4.0,96.6,0.0,0.0,439570.0,88097.0,Cash,0
5, 36 months,405.18,Veterinary Tecnician,debt_consolidation,Debt consolidation,10.2,0.0,Individual,0.0,12798.0,0.0,1.0,0.0,0.0,338.0,3976.0,0.0,0.0,4522.0,76.0,0.0,0.0,0.0,2560.0,0.0,54.0,32.0,32.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16900.0,4000.0,Cash,0
6, 36 months,637.58,Vice President of Recruiting Operations,debt_consolidation,Debt consolidation,14.67,0.0,Individual,0.0,360358.0,0.0,2.0,0.0,2.0,18.0,29433.0,2.0,3.0,13048.0,74.0,1.0,0.0,1.0,30030.0,0.0,306.0,10.0,10.0,0.0,4.0,6.0,4.0,5.0,7.0,9.0,16.0,6.0,12.0,0.0,0.0,0.0,2.0,96.3,0.0,0.0,388852.0,46452.0,Cash,1
7, 36 months,631.26,road driver,major_purchase,Major purchase,17.61,0.0,Individual,0.0,141601.0,0.0,3.0,0.0,4.0,13.0,27111.0,0.0,0.0,640.0,55.0,1.0,0.0,2.0,17700.0,0.0,55.0,32.0,13.0,1.0,2.0,2.0,3.0,3.0,9.0,3.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,93.3,0.0,0.0,193390.0,36144.0,Cash,1
8, 36 months,306.45,SERVICE MANAGER,credit_card,Credit card refinancing,13.07,0.0,Individual,8341.0,27957.0,2.0,1.0,0.0,0.0,35.0,17493.0,2.0,7.0,2524.0,46.0,2.0,0.0,1.0,1997.0,0.0,129.0,1.0,1.0,0.0,6.0,9.0,7.0,10.0,3.0,13.0,19.0,9.0,14.0,0.0,0.0,0.0,2.0,95.7,1.0,0.0,61099.0,30799.0,Cash,1
9, 36 months,263.74,Vendor liaison,credit_card,Credit card refinancing,34.8,0.0,Individual,0.0,199696.0,0.0,2.0,2.0,3.0,10.0,106748.0,0.0,2.0,4725.0,49.0,0.0,0.0,1.0,28528.0,0.0,253.0,15.0,10.0,1.0,3.0,3.0,3.0,6.0,5.0,5.0,11.0,3.0,8.0,0.0,0.0,0.0,2.0,94.4,0.0,0.0,256513.0,135513.0,Cash,1
